"Portugues";"Kikongo"
"Boas notícias";"nsangu zambote"
"Boato";"mavuna"
"Boca";"nwa"
"Bocado";"fya fyoti"
"Bocejar";"ta mwaya"
"Bochecha";"bundi"
"Bochechar ";"Sukumuna "
"Bochechudo ";"mabundi ma nene"
"Bode";"koko dya ngombe"
"Bofetada ";"mbata, nkomi"
"Boi ";"Ngombe "
"Bóia";"boya"
"Boiar ";"Kukula"
"Bola";"somba"
"Bolacha";"madya ma nzenzo"
"Bolha";"vumbu"
"Bolo";"madya ma nzenzo"
"Bolsa";"Nkutu"
"Bolso";"posi, pokoti"
"Bom";"Kyambote"
"Bom dia";"sikamene, lumbu kya mbote"
"Bomba";"mbukila"
"Bombo";"kedi, keso"
"Bombó seco";"Kedi kya yuma"
"Bonança";"yayingi"
"Bondade";"a mbote  "
"Bone ";"mpu"
"Boneca ";"teke"
"Boneco ";"teke"
"Bonito ";"a mbote, a velela  "
"Boquilha";"nwa fyoti"
"Borboleta";"lumbembeleka"
"Borbulha";"mavizi"
"Borbulhar";"vanga mavizi"
"Borda";"mwingilu"
"Bordão";"kulu kulu"
"Bordar";"tunga"
"Borracha";"nkweza"
"Borracha elastica";"nkweza"
"Borrar";"bebisa"
"Borrar-se";"kudibebesa"
"Borrifador";"mwangi a maza"
"Borrifar";"mwanga maza"
"Borrifo";"mwanga"
"Bosque";"mfida"
"Botão";"ntenzi, butu"
"Botas";"nsapatu"
"Botija";"mbwata"
"Bovino";"ngombe"
"Bracelete";"nlunga"
"Braço";"koko"
"Braço direito";"koko kwa lunene"
"Braço esquerdo";"koko kwa lumoso"
"Braços ";"moko"
"Branco";"mpembe"
"Brando";"lembama"
"Branqueado";"kya mpembe"
"Branquear";"tula mpembe"
"Brasa";"lukuni"
"Brecha";"lawu"
"Breve";"nkufi"
"Briga";"nwana"
"Brigadeiro";"mfumu wa masoladi"
"Brigar";"nwana"
"Brilhante";"kya lezima"
"Brilhar";"lezima"
"Brilhar com pouca intensidade";"Lezima kwa fyote"
"Brilho";"lezima"
"Brilho do sol";"Lezimu a mwinu"
"Brincadeira";"nsakana"
"Brincalhão";"nsakani"
"Brincar";"sakana"
"Brinco";"nlunga"
"Brindar";"kinzi"
"Brinde";"lukawu"
"Brinquedo";"Lekwa kya nsaka"
"Brisa";"wunga"
"Brita";"nsadi"
"Broca";"sengo kya tobolola"
"Bronquite";"nswengi"
"Bronze";"Sengwa kya ntalu"
"Brutal";"lumbakana"
"Brutalidade";"fu kya lumbakana"
"Bruto";"lumbakani"
"Bruxa";"ndoki"
"Bruxaria";"kindoki"
"bruxo";"ndoki"
"Buato";"mavuna"
"Búfalo";"mpakasa"
"Bufar";"bula mfuni"
"Buracão";"wulu dya nene"
"Buraco";"wulu, bulu"
"Burgau";"matadi"
"Burla";"wivi"
"Burlar";"yiba"
"Burocracia";"vyengo vyengo"
"Burro";"kipombo,  Muntu kansanswa ko,  Butu,  Zowa,  Zengi"
"Busca";"vava, sosa"
"Buscador";"nsosi"
"Buscar";"sosa"
"Buzina";"mpungi"
"Buzinar";"sika  mpungi"
"cá";"vava"
"cabaça";"nkalu"
"cabana";"sudi"
"cabaz";"nkayilu"
"cabeça";"ntu"
"cabeçada";"wanda ntu"
"cabeças";"mi ntu"
"cabecear";"nimba, tonza"
"cabeceira";"ntandu a ntu"
"cabeçudo";"ntu a nene"
"cabedal";"nkwezu"
"cabelo";"nsuki"
"cabeludo";"nkwa nsuki"
"caber";"fwana"
"cabo";"nsinga"
"cabo de guerra ";"ntumi a masoda"
"Cabouco";"ngyatiku a nzo"
"cabra ";"nkombo a nkento"
"Cabrito";"nkombo"
"Cábula";"laba"
"Caça";"veta"
"Caçada";"fu kya veta"
"caçado";"kya vetwa"
"Caçador";"nkongo"
"Caçar ";"veta, nkonda"
"cacarejar";"kokola"
"cacarejo";"nkala"
"Cacete";"nkoko"
"Cachaça";"malavu ma ngolo"
"Cachão";"Bawula, nkela"
"Cachimbo";"su kya fomo, kinzu kya fomo"
"Cacho";"nkanga"
"cachorro";"mwana a mbwa"
"Cadaver";"mvumbi"
"Cadeado";"kumba"
"Cadeia";"boloko"
"cadeira";"kunda, kiti"
"cadeirinha";"kunda kya fyoti"
"cadela";"mbwa ankento"
"caderno";"nkanda a nsonikina"
"caducar";"suka, manisa"
"café";"kafwa"
"cair";"bwa"
"caixa";"nkela"
"caixote";"nkela"
"caju";"nkaziwa"
"calafrio";"kyozi"
"calcinha";"kupa"
"Calço";"kakilu"
"Calcular";"yindula, ntalu"
"Cálculo";"fu kya yindula"
"Calda";"nzongi"
"Caldeirada";"madya ma bundwa"
"Caldo";"nzongi"
"Caléndario";"nkada wa tadila lumbu ya ngonde"
"Cálice";"mbungwa"
"Caligrafia";"sono"
"Calma";"lembama"
"calmar";"lembeka"
"caminho";"nzila"
"camisa";"kinkutu"
"camisola";"nanu, tidikwa"
"campa";"zyami"
"campeonato";"mbekani"
"campo ";"yanzala"
"camponesa";"nsadi a mpatu"
"canivete";"kotika"
"canja";"nzongi"
"cano";"mvumba"
"cansaço";"yoya"
"cansar";"yoya"
"caos";"ngiyoyilu"
"capim";"nyanga"
"capsula";"lundilu"
"caracterizar";"tula sisu"
"Carraça";"nkanza, mbwangene"
"Carrapitos";"mazinga"
"Carrasco";"kingumba"
"Carregador";"nati"
"Carregamento";"lunatu"
"carregar";"nata"
"carro";"Kumbi"
"Carruagem";"waku"
"carta";"nkanda"
"Cartão";"nkanda"
"Carvão";"makala"
"casa";"nzo"
"casado";"wa kwela"
"Casal";"kwela"
"Casamento";"lukazalu"
"Casar";"kwela, sompa, bonga"
"Casarão";"nzo ya nene"
"caso";"dyambu"
"castanha";"nguba ya nkaziwa"
"categoria";"kamba"
"catequese";"sikola a mambu ma nzambi"
"ceia";"nlekelu"
"censura";"fimpa"
"centena";"nkama"
"centenario";"lungisa nkama"
"centesimal";"kya kama"
"centésimo";"a nkama"
"cento e... ";"nkama ye…"
"centopéia";"kinkala kala"
"central";"kati kati"
"centro";"vakati"
"cerâmica";"tuma"
"cerca";"zunguluka"
"cercado";"kya zugulukwa"
"cercador";"zunguluki"
"cercar";"zunga"
"cereal";"mbongo"
"cerebro";"tonfi,tongongo"
"cerimónia";"lukutakanu"
"cerimonial";"fu kya lukutakanu"
"cerrar";"zenga"
"certa";"kyeleka"
"certamente";"kyeleka beni, kikilu"
"certeza";"Ziku, Kyeleka, Ludi"
"certidão";"Nkada wa kyeleka "
"certificado";"nkanda malongi"
"certificar";"wumbangi"
"certificar-se";"kudi tula umbangi"
"certo ";"kyeleka"
"cerveja";"malavu"
"cervejeiro";"fulu kya malavu"
"cessar";"yambula"
"cesto";"mbangu"
"céu";"tulu "
"ceus";"tulu "
"chá";"ti "
"chacal";"bulu"
"chacinar";"lweka "
"chama";"nlaku"
"chamada";"lubokelo"
"chamamento";"bokilwa"
"chamar";"bokila, tela"
"chamar atenção";"lukebisu"
"chaminé";"vayikilu kya mwisi"
"chão";"ntoto"
"chapa";"tolo"
"chapar";"tula tolo"
"chapéu";"mpu"
"chará";"zina"
"charada";"kinsweki"
"charco";"byanga"
"charrua";"makalala"
"charuto";"mfomo"
"chatear";"tokanisa"
"chato";"ntokanisi"
"chave";"nsabi"
"chávena";"mbungwa"
"chaveta";"nkangulu"
"chefe";"mfumu"
"chefe de casa";"mfumu a nzo"
"chefiar";"kimfumu"
"chegada";"ndwaka"
"chegar";"lweka "
"cheia";"yela, zala"
"cheio";"yela, zala"
"cheirador";"wansunga"
"cheirar";"wa nsudi"
"cheiro";"nsunga "
"cheiro agradavel";"nsunga "
"cheiro desagradavel";"nsudi"
"cheiroso";"nsunga "
"chiar";"fusuna"
"chibata";"nzwangi"
"chibatar";"wanda"
"chicotada";"mfimbu "
"chicote";"mfimbu "
"chicotear";"wanda mu mfimbu"
"chifre";"mbinga, mpaka"
"chinela";"balakata"
"chinelo";"balakata"
"chocar (embate)";"wandama"
"chocar (ovos)";"butamena"
"chocar-se";"kudiwanda"
"choque";"wandama"
"chorador";"ndidi"
"choramingar";"dila"
"chorão";"ndidi"
"chorar";"dila"
"choro";"dilu"
"chouriço";"sodisu"
"chover";"noka"
"chuchar";"yema"
"chúle";"nsudi a nsampatu"
"chumbo";"mbodi"
"chupado";"kya fibwa"
"chupador";"mfibi"
"chupar";"fiba"
"chupeta";"kya fiba"
"chutar";"yinga"
"chuva ";"mvula "
"chuva forte";"mvula ngolu"
"chuvinha ou chuva fraca";"mvula malembe"
"chuviscar";"mawanga"
"chuvisco";"mawunga"
"cicatriz";"fu kya mputa"
"cicatrizar";"sisa fu"
"cidadão";"ngutukila"
"cidade";"mbanza"
"ciência";"zayi"
"cifra";"ntalu"
"cigarra";"nzenze, kinzenze"
"cigarro";"mfomo, sikalete"
"cilindro";"lekwa kya vinduka"
"cimento";"simenta"
"cinco (5)";"Ntanu"
"Cinema";"sindamu"
"Cinquenta (50), ";"makumatanu."
"Cinta ";"mponda"
"cinto";"mponda"
"Cintura";"luketu"
"Cinza";"ntoto a mpolo"
"Circular";"zyeta, dyeta"
"Círculo";"nkongolo"
"Circuncidar";"longo"
"Circuncisado";"muntu wa vangwa longo"
"Circuncisão";"longo"
"Circunferencia";"nkongolo"
"Circunstancia";"ntangwa"
"cirurgião ";"nganga mawuku"
"Cismar.";"Solela,  Mbanza kwa ingi "
"Cisterna";"lungu"
"Ciúme";"nsongo"
"ciumenta";"nkwa nsongo"
"Ciumento";"nkwa nsongo"
"Civil";"alongoka"
"Civilização";"lulongoku"
"Civilizado.";"alongoka"
"Civilizar";"longa, longisa"
"Clamar";"lomba"
"Clamor";"fu kya longa"
"Clandestino";"nsweki"
"Claramente";"kyeleka kyeleka"
"Clarão";"ntema"
"Clarear";"vana ntema"
"Clareza";"ntema"
"Claridade";"ntema"
"Clarificar";"vana ntema"
"claro";"ntema"
"Classe";"kamba"
"Clássico";"a kulu"
"Classificação";"fu kya sola"
"Classificar";"sola"
"Clavícula";"Visi kya vembo "
"cliente";"nsumbi"
"Clima";"nsugi"
"clinica";"nzo ya mawuku"
"Clinico";"mawuku"
"Clítoris";"ndindi"
"Clube";"nzoya lukutakanu "
"coabitação";"nzingilu"
"coabitar";"zinga kumosi "
"coagir";"kwamina"
"coar";"kenza"
"coar-se";"kudikenza"
"cobarde, covarde";"nkwa lulende"
"coberta";"vunga"
"Coberto";"fukila"
"Cobertor";"vunga"
"Cobertura";"Fu kya fukila"
"Cobiça";"loko"
"Cobiçar";"fu kya loko"
"Cobra";"nyoka"
"cobrir-se";"kudifukila"
"coisa";"kima,lekwa"
"Coisas pequenas";"yima ya fyioti"
"Cola";"lama lama, kazu"
"colaborador";"nsadisi"
"Colaborar";"sadila"
"Colar";"lamika"
"Colcha";"vunga"
"Colchão";"matalasi"
"Colecção";"kutikisa"
"Colecta";"kutika"
"Colega";"nkundi"
"Cólera";"luta vumu"
"Colete";"kwelete"
"Colheita";"konga"
"Colher";"ngutu, nzalu"
"Colher (Verbo)";"kutika"
"Cólica";"lunza vumu"
"Colmeia";"bangu dya mbwinginini"
"Colo";"ndya"
"Colocação";"fu kya tula"
"Colocado";"kyatulwa"
"Colocar";"tula, sya"
"Colocar-se";"Kuditula "
"Colónia";"fulu kya yala"
"Colonial";"yandi"
"Colonizar";"yala"
"Colono";"nyadi"
"Coloração";"tula sye"
"Colorido";"kina ye sye"
"coluna (fila vertical)";"nlonga"
"Coluna (militar)";"mbuka kya masoda"
"Coluna (pilar)";"lunzi dya nzo"
"com";"ye,yo"
"Com licença";"dodokolo"
"Comadre";"mpangi a nkento"
"Comandante";"mpangi a yakala"
"Comandar";"tumina"
"Comando";"Fu kya tumina"
"comarca";"mbanzi a nkanu"
"Combate";"nzingu, vita"
"Combatente";"nwani"
"Combater";"nwana"
"Combinação";"ngwizani"
"combinado";"ngwizani"
"Combinar";"wizana"
"Comboio";"lukalu"
"Combustível";"mazi ma kalu"
"Começar";"yatika"
"Comechão";"nfisi"
"Começo";"luyantiku"
"Começo da noite";"tombe"
"Comédia";"nsakana"
"Comediante.";"nkwa nsakana"
"Comedor";"ndye"
"Comemorar";"nkinzi, nkembo"
"Comentador";"mwangi a nsangu"
"Comentar";"mwangununa"
"Comentário";"mwangununa"
"Comer";"dya "
"Comer demais";"dya kwa yingi"
"Comercial";"Kya nkita "
"Comerciante";"nkiti"
"comércio";"kinkita"
"comestivel";"Kya dya "
"Cometer";"nkanu"
"Cometer adultério";"Ta zumba,  Vanga zumba "
"Comida";"madya"
"comida mal feita";"madya kamatomalabwa ko"
"Comigo";"kwa mono"
"Comilão";"ndye,loko"
"Comilona";"nkento odyanga kwayingui,  nkwa loko"
"Comissão";"kimvuka"
"Comissário";"mfumu a kimvuka"
"Comitiva";"kimvuka"
"Como";"kya mpila, aweyi "
"cómodo";"luvuvamu"
"compactivel";"kya fwana"
"computador";"kintudika"
"Compadre";"mpagi"
"Compaixão";"nkenda,  Luzolo "
"Companheiro";"nladi"
"Companhia";"nladi"
"Comparação";"ntezanisa,  swasikisa"
"Comparar";"tezanasa"
"comparecer";"monika"
"comparticipação";"zayisa, tumina"
"compartilhar";"kayana"
"compartimento";"mwingilu"
"compartir";"kayana"
"compatriota";"Musi nsi mosi "
"compensar";"vutula"
"competência";"lendo,luve"
"competente";"nkwa lendo, nkwa luve"
"competição";"nwanina"
"competidor";"nkwa nwanina"
"competir";"Nwanina fulu "
"compilar";"zutika,  zonzeka"
"complemento";"lulungisu"
"completamente";"amvimba"
"completar";"lungisa"
"completo";"kya lunga"
"complexo";"Kya mpasi"
"complicação";"mpasi"
"complicar";"Kya mpasi"
"compor";"kubika"
"compor musica";"vanga nkunga"
"comportamento";"fu"
"comportar";"mpila kadilu"
"comportar-se";"Mpila kadilu"
"composição";"kya vukana, kya bundikiswa"
"composto";"kya vukana, kya bundikiswa"
"compra";"sumba"
"comprado";"kya sumba"
"comprador";"nsumbi"
"comprar";"sumba"
"comprar e vender";"sumba ye teka"
"comprazer";"tonda"
"compreender";"makisa,tonda"
"compreensão";"fu kya makisa"
"compreensivel";"lenda bakisa"
"comprido";"kya nda, anda"
"comprimento";"la,leva,lambuka"
"comprimir";"batikisa"
"comprometer";"kudi kotisa"
"compromisso";"nsilu"
"comprovar";"songa"
"comum";"kintwadi"
"comunicação";"luzayisu"
"comunicador";"nzayisi"
"comunicante";"nzayisi"
"comunicar";"zayisa"
"comunidade";"kimvuka"
"comutar";"soba"
"côncavo";"wulu, bulu"
"conceber";"yimita"
"conceder";"monika"
"conceito";"mbalu"
"concentração";"kutakana"
"concentrar";"kutakana, zonzeka"
"concentrar-se";"kudikutikisa"
"concepção";"lwiundulu"
"concertar";"singika "
"concerto";"sikidisa"
"concha";"kodya"
"conciliar";"budikisa"
"concluir";"fokola, manisa"
"conclusão";"mfoko"
"concordancia";"gwizani"
"concordar";"wizana"
"concorrência";"ndonga,  buka"
"concorrente";"banda"
"concorrer";"Nwanina fulu "
"concretizar";"lunga, lenda"
"concreto";"sikididi"
"concunhado";"mapngi"
"concurso";"Nwanina fulu "
"condenação";"fu kya yeleswa"
"condenado";"wayeleswa"
"condenar";"yelesa"
"condensar";"yoyisa"
"condição";"kadilu"
"condicionar";"vana kadilu"
"condimento";"matongo,tongo"
"condolência";"nkayilu"
"conduta";"fu kya"
"conduto";"matongo,tongo"
"condutor";"mfidi"
"conduzir";"fila"
"conferência";"lukutukanu"
"conferente";"nludiki, ntangi"
"conferir";"tanga"
"confessar";"funguna"
"confessor";"mfuguni"
"confiadamente";"Bunde vuvu,  Simbisa,  Lundisa"
"confiança";"vuvu"
"confiante";"kwa vuvu"
"confiar";"tula vuvu"
"confidência";"kinsweki"
"confidencial";"kinsweki"
"configuração";"mpila kubika"
"confirmação";"fu kya kyeleka"
"confirmar";"kyeleka"
"confiscar";"kanga,tula nsiku"
"confissão";"funguna"
"conflito";"nwana"
"conformar";"tonda"
"conforme";"kya mpila mosi"
"conformidade";"kya mpila mosi"
"confortar";"luvuvamu"
"conforto";"kala mbote"
"confrade";"mapngi"
"confrontar";"mesu ye mesu"
"confundir";"vilakana"
"confusão";"konda luzitu"
"confuso";""
"congelar";"badisa"
"congregar";"bunda"
"congressista";"ntumwa"
"congresso";"lukutakanu"
"conhecer";"zaya"
"conhecido";"azayakana"
"conhecimento";"zayi"
"conjugar";"vanga kimvuka"
"cônjuge";"nkento ye yakala"
"conjunção";"bunda"
"conjunto";"kimvuka"
"connosco";"kwayeto"
"conquista";"lenda, zola"
"conquistador";"nzodi"
"conquistar";"zola"
"consagração";"sambulwa"
"consagrado";"sambuka"
"consagrar";"sambulwa"
"consagrar-se";"kudisambula"
"consciência";"zayi"
"consciente";"kwa zayi"
"consecutivo";"dindi kisa"
"conseguir";"lenda"
"conselheiro";"longi"
"conselho";"logi"
"consequência";"ma vangamene"
"consertar";"tomisa"
"conserto";"tomisa"
"conserva";"lunda"
"conservação";"fu kya lunda"
"conservador";"nlundi"
"conservar";"lunda"
"consideração";"bunda vuvu"
"considerar";"vuvu"
"consideravel";"kya vuvu"
"consigo (Pronome)";"ye yandi "
"consistência";"fu kya lenda"
"consistir";"lenda"
"consolar";"vuvika, lemvola"
"consolidar";"mvuwiki, nlemvodi"
"consórcio";"nlandi, nkundi"
"conspiração";"zodila mbi"
"conspirar";"zodila mbi"
"constante";"a wonso"
"constantemente";"ntangwa a wonso"
"constar";"yina"
"constipação";"fukutila"
"constipar";"kala ye fukutila"
"constituição";"mpila ya bundakana"
"constituir";"bandakesa ma yayingi"
"constrangimento";"kyadi"
"construção";"ntungu"
"construido";"kya ntungwa"
"construir";"tunga"
"construtor";"ntungi"
"consulta";"sosa, vava"
"consultar-se";"kudisosa"
"consumar";"nzengo"
"consumir";"manisa"
"consumo";"kya manisa"
"conta";"ntalu"
"contactar";"mokina"
"contacto";"gwisana"
"contado";"kya tangwa"
"contador";"ntangi"
"contagiar";"mwanganesa"
"contágio";"nsambukila "
"contagioso";"nsambukila"
"contaminar";"sambukisa"
"contar";"ntanga ntalu"
"contemplar";"yangidika"
"contentamento";"kyese mukyese"
"continuamente";"landidila"
"continuar";"landilana"
"contínuo";"kilembi vunda"
"conto";"savu"
"contornar";"zunguluka"
"contorno";"zunguluka"
"contra";"mbanda"
"contrabando";"kinkita kya mbi"
"contradição";"fu kya nswaswani"
"contraditor";"nswaswanisi"
"contraditorio";"nswaswanisi"
"contrair";"vwa"
"contrariar";"bangika"
"contrário";"nswaswani"
"contratar";"ngwizani"
"contratempo";"ntangwa ambi"
"contrato";"wizana"
"contribuição";"fu kya kuba"
"contribuinte";"nkubi"
"contribuir";"kuba"
"contudo";"mudyudyu "
"convencer";"lemvola"
"convencer-se";"kudilemvola"
"conveniência";"dya mfumu"
"conveniente";"nluta"
"convento";"nzo ya lulongoko"
"conversa";"moko"
"conversado";"dya mokwa"
"conversão";"balula"
"conversar";"mokina"
"converter";"soba"
"convicto";"lemvolwa"
"convidado";"tumiswa"
"convidar";"tumisa"
"convite";"tumiswa"
"convivência";"mpila ya zingila"
"conviver";"zinga kumosi"
"convívio";"nkinzi"
"convocação";"tumisa, bokidisa"
"convocar";"tumisa"
"convocatória";"tumisa"
"convosco";"ye yeno, ye beno"
"cooperar";"wizana"
"coordenado";"tumuna, dyatisa"
"coordenar";"singika, tumuna"
"cópia";"bandula"
"copiar";"bandula"
"copo";"mbasa"
"coqueiro";"nti a kokoti"
"cor";"sye"
"cor branca";"sye kya mpemba"
"coração";"ntima,mbundu"
"coragem";"wunkabu"
"corajoso";"nkwa wunkabu"
"corcunda";"nkwa kuki"
"corda";"nsinga"
"cordão";"nsiga wa nene"
"cordão umbical";"nsinga nkumba"
"cordeiro";"meme"
"cordial";"nlembami"
"corneta";"mpungi"
"corno";"mbinga, mpaka"
"coroa";"mpu a mfumu"
"coronha";"bombo dya nkele"
"corpo";"nitu"
"corporação";"buka kya antu"
"correcção";"fu kya fimpa"
"correcto";"ambote, kya mbote"
"corredor";"mudambu ndambu"
"correia";"singa wa kumbi"
"correio";"nzo ya nkanda"
"corrente";"nkengezi"
"correnteza";"mwana nkoko"
"correr";"tikuna"
"correria";"fu kya tikuna"
"correspondência";"mvutu"
"corresponder";"mvuntu"
"corrida";"ntinu"
"corrigir";"fimpa"
"corrigir-se";"kudifimpa"
"corroer";"tatika"
"corromper";"vukumuna"
"corrupção";"vukumuna"
"cortador";"nzengi"
"cortar";"zenga"
"cortar o cabelo ";"zenga nsuki"
"corte";"zenga"
"cortejar";"zengo nona"
"cortejo";"longa"
"cortesia";"sendikila"
"cortina";"nlele wa kyele"
"coruja";"fungu"
"corvina";"zonzi"
"corvo";"numi"
"coser";"tunga"
"costa maritima";"kumu dya kalunga"
"costas";"nima"
"costela";"lubanzi"
"costumar";"fu"
"costume";"fu, mpila"
"costura";"tunga"
"costurar";"tunga"
"costureira";"ntungi a nkento"
"costureiro";"ntungi"
"cotovelo";"kongonya"
"couceira";"kwanga"
"couro";"bula dya bulu"
"couve";"nkovi, ndunda"
"couveiro";"mvaki a nzyyami"
"cova";"wulu, dibulu"
"covarde ou cobarde";"muntu ambi"
"covardia";"ambi"
"coxa";"to"
"coxear";"kangala tedi"
"coxo";"koka, mvanguki"
"cozedura";"fu kya vya"
"cozer";"vya"
"cozido";"kya vya"
"cozinha";"nzo ya lambila"
"cozinhado";"kya lambwa"
"cozinhar";"lamba"
"cozinheira";"nlambi a nkento"
"cozinheiro";"nlambi"
"crânio";"valanganza kya tu"
"cravo";"lubuni"
"credencial";"nswa"
"crédito";"sompika"
"creme";"mazi"
"crença";"kwikila"
"crente";"mu nkwikizi"
"crer";"zola"
"crescente";"komina"
"crescer";"kula, vatumuka"
"crescimento";"nungumuka"
"cria";"nsedya"
"criação";"twela, sasa"
"criada";"kya twelwa"
"criado";"kya twelwa"
"criador";"mvangi"
"criança";"mwana"
"criança saudavel";"mwana ma vimpi"
"criança doente";"mwana mbevo"
"criançada";"ndonga ana, buka kya ana"
"criancice";"fu kya kileke"
"criancinha";"kindende"
"criar";"sasa"
"criar bolor";"mfudila"
"criar ramelas nos olhos";"vana vote mu mesu"
"criatura";"vangwa"
"crime";"nkanu"
"criminal";"kya nkanu"
"criminar";"vunina"
"criminoso";"mpodi a nkanu"
"crise";"nkondwa"
"crisma";"nsyamisa"
"crismar";"tambu nsyamisa"
"cristal";"angudiki"
"cristão";"mu kwikizi"
"cristianismo";"lukwikilu"
"cristo";"yezo, yisu"
"crítica";"bela"
"criticador";"mbedi, mengi"
"criticar";"bela"
"crítico";"mbedi"
"crocodilo ";"ngandu"
"crónica";"kilembi kola"
"crosta";"bawula"
"cru";"nse"
"crucificar";"komwa"
"cruel";"mvondi, mfwasi"
"cruz";"kuluzu"
"cruzamento";"mpambu"
"cruzar";"bulangana"
"cruzeiro";"kuluzu dya nene, kuluzu dya tadi"
"cuchichar";"longisila"
"cuidado";"keba"
"cuidados";"nkeba"
"cuidar";"kebila, tata"
"cujo (pron.)";"kansi"
"culpa";"mbi"
"culpado";"ntu a mambu"
"culpar";"vunina"
"cultivador";"mvati"
"cultivar";"kuna"
"culto";"ndwenga, ngangu"
"cultura";"kinkulu"
"cúmplice";"kala kumosi"
"cumprimentar";"kayisa"
"cumprimento";"kayiswa"
"cumprir";"kumbidila"
"cunha";"vukumuna"
"cunhado";"nkwezi"
"cunhada";"nkwezi"
"cura";"kola"
"curador";"nsadisi"
"curandeiro";"nsadisi"
"curar";"kodisa"
"curar-se";"kudi kodisa"
"curiosidade";"wezi"
"curioso";"wezi, nzodi a mambu"
"curral";"mpaka bulu"
"currupto";"mvukumuni"
"cursar";"landa malongi"
"curso (académico)";"malongi"
"curtir";"ntinzi"
"curto";"kufi"
"curva";"kondomoka"
"curvado";"kya kondomoka"
"curvar";"kondomoka"
"curvar-se";"kudi kondomona"
"curvo";"kya kondomoka"
"cuspir";"tawula"
"custar";"ntalu"
"custear";"futa"
"custo";"ntalu a sumbila"
"da mesma maneira";"mpila mosi"
"dactilografo";"nsoneki"
"dadiva";"nkayilu"
"dádiva relegiosa ";"nkayilu a Nzambi"
"dado";"finkela"
"dador ";"mvani"
"dama";"nkento"
"danado ";"nkonda nsoni"
"dança";"kina"
"dançar";"makinu"
"dançarino ";"akini"
"danificar";"fwasa"
"dano ";"lufwasu"
"danoso ";"ki fwasukidi"
"dar";"vana"
"dar a cheirar";"vana nsudi"
"dar a compreender";"vana zayi"
"dar a conhecer ";"vana luzayisu"
"dar a esconder";"vana munsweki"
"dar a forma de…";"vana mu mpila ya"
"dar a luz";"wuta"
"dar a perceber";"vana ye bakisa"
"dar a razão ";"vana ndungidi"
"dar a…";"vana kwa…"
"dar abrigo a…";"vana fulu kwa"
"dar alimento a…";"vana ma  dya kwa…"
"dar alta";"vana nsasukidi"
"dar as boas-vindas";"zolela ngiza a mbote"
"dar atenção";"vana lukebisu"
"dar bofetadas";"vana mbata"
"dar bom conselho";"vana longi dya mbote"
"dar cabo de…";"kota nso nki a…"
"dar choque";"wandama"
"dar crédito";"vana lusompiku"
"dar cumprimentos a…";"vana mbote kwa"
"dar de beber";"vana kya nwa"
"dar de beber demasiado";"vana kwa yingi ma nwa"
"dar de cara com…";"vana va ndose ye"
"dar de mamar ";"vana ma yene"
"dar de si ";"kudi vana"
"dar de uma vez só";"vana nkumbu yimosi kaka"
"dar dentadas ";"tatika"
"dar destino a…";"vana fulu kya"
"dar educação";"vana lulongoko"
"dar empurrões";"vana lunungunu"
"dar facada";"lweka "
"dar falhas";"lembwa"
"dar fé";"vana lukwikilu"
"dar fervura ";"yidisa"
"dar folga a…";"zezisa"
"dar gargalhadas";"seva"
"dar glória";"vana kyese"
"dar graças";"vutula matondo"
"dar gritos";"kaza"
"dar licença";"vana swa"
"dar mau conselho ";"vana longi dya mbi"
"dar melhor direcção ";"songa nzila a mbote"
"dar merenda";"vana madya "
"dar mergulho";"kudi dimuna"
"dar muitas voltas";"zungana"
"dar nas vistas";"kudi mwesa"
"dar no alvo";"vana mu lekwa"
"dar nome ";"vana nkumbu"
"dar ordem";"vana nswa"
"dar para sempre";"vana ntangwa za wonso"
"dar parabens";"zolela ma vimpi"
"dar parecer, dar conselho";"vana longi"
"dar pequenos saltos";"kimuka fyoti"
"dar pontapés";"vana kinsi"
"dar prazer ";"vana kyese"
"dar presente de noivado";"vana nkayilu wa longo"
"dar razão a…";"vana ndungidi kwa…"
"dar refrescos";"vana nzizi"
"dar resposta a…";"vana e mvutu kwa…"
"dar salto";"vana lutimu"
"dar sem dó";"vana konda kya nkenda"
"dar sinal";"vana sisu"
"dar sinal de vida ";"vana sisu kya luzingu"
"dar voltas";"vana ndye tomoko"
"dardo";"viluka"
"dar-se";"kudi vana"
"dar-se a conhecer";"kudi zayisa"
"dar-se a conhecer pela voz";"kudi  zayisa mundinga"
"dar-se a saber";"kudi zayila mu zaya"
"dar-se ao respeito";"kudi vana luzitu"
"dar-se por convidado";"konda tumiswa"
"dar-se por feliz";"kudi vana mu kyese"
"dar-se quentura";"kudi vana ntuya"
"data";"sungi"
"datar";"vanga sungi"
"de";"ye"
"de alto a baixo";"kyanda ye kya nkufi"
"de Angola";"wa ngola"
"de facto";"mu dyu dyu "
"de graça";"kya mpamba"
"de madrugada";"mu menemene, mu nsuka suka"
"de maneira nenhuma";"ke dyambudi mosi ko"
"de manhã";"mu nsuka"
"de modo nenhum";"kana dimosi"
"de passagem";"muluta"
"de pé";"telema"
"de preferência";"kya luzolo"
"de proposito";"kya luzolo"
"de repente";"mu kinsalukisa"
"de sorte";"kyalawu"
"de uma só vez";"mu nkumbi mosi, nkumbi wamosi"
"de vez";"kwendidila"
"debaixo";"ku nsi"
"debandar";"vumbuka"
"debate";"moko"
"debater um assunto ";"vovela mambu"
"débil";"kya yoya"
"debilidade";"mpila yoya"
